timestamp,temperature_C,voltage_V,vibration_g,current_A,motor_load_%,status,anomaly
2025-05-29 00:06:09.889122,43.77063282743375,332.67749654068524,0.1951053117247094,149.26541961641522,70.71953342887137,Normal,Normal
2025-05-29 00:06:19.889122,55.74510966948101,345.34975339017035,0.2678127211476138,144.81746026660764,63.5953893251292,Normal,Normal
2025-05-29 00:06:29.889122,38.36792544485571,373.54662829510187,0.2532044332422865,93.31124699718936,71.97392732727393,Normal,Normal
2025-05-29 00:06:39.889122,56.73023133599287,360.0760380658194,0.1734614134632931,125.52590977648798,89.43543745884259,Normal,Normal
2025-05-29 00:06:49.889122,55.29738812980969,358.0249048283903,0.1240353196410679,140.62819696840614,78.99629817586116,Normal,Normal
2025-05-29 00:06:59.889122,75.59524913230287,346.3368922789473,0.2445727797634938,208.3173519138143,63.75638132035541,Faulty,Normal
2025-05-29 00:07:09.889122,40.03438505468888,334.61103425611986,0.2397426651325559,110.74729066883768,56.62495139734237,Normal,Normal
2025-05-29 00:07:19.889122,43.24123089092275,351.42780768635515,0.1246048518421889,165.4154007811174,85.87240003107101,Normal,Normal
2025-05-29 00:07:29.889122,78.5451741652349,345.0606153669479,0.1288885489873213,205.8682420659385,56.98303923740818,Faulty,Anomaly
2025-05-29 00:07:39.889122,53.856494784663184,327.07685197020606,0.1587954676802959,109.24600472738672,75.14931961167265,Normal,Normal
2025-05-29 00:07:49.889122,57.15852907693108,350.1120509158397,0.1953693201733856,109.33731269032572,100.56526677064603,Normal,Normal
2025-05-29 00:07:59.889122,57.49112658485591,362.68412211258095,0.2487931051016858,175.1986570807299,70.71473977577405,Normal,Normal
2025-05-29 00:08:09.889122,66.85682231988834,366.8896306361804,0.2000216184769257,166.46544871542886,80.73759707124269,Normal,Normal
2025-05-29 00:08:19.889122,39.89454315301218,383.0997654092879,0.1769159754887653,186.99593783130445,71.26030424720375,Normal,Normal
2025-05-29 00:08:29.889122,79.3178569385152,349.3034073020489,0.2795547464249422,139.3779637411797,67.03894979028226,Faulty,Normal
2025-05-29 00:08:39.889122,40.37555807910977,355.0711580411862,0.2298675779669011,157.7329441587625,59.23676880027737,Normal,Normal
2025-05-29 00:08:49.889122,55.16227873519131,359.0145349675005,0.1327389937094942,150.54069024285116,60.541880031476616,Normal,Normal
2025-05-29 00:08:59.889122,56.292137750539936,372.305878672216,0.2432570460697491,125.05340929521128,54.10646212909919,Normal,Normal
2025-05-29 00:09:09.889122,58.14556265956032,362.9424699669358,0.1620621019595059,167.92247137552724,71.30697102261773,Normal,Normal
2025-05-29 00:09:19.889122,38.16798733055754,349.1580607063069,0.2406608528985872,165.18435415848114,76.01222940538251,Normal,Normal
2025-05-29 00:09:29.889122,56.55488112269502,340.8140789723902,0.1690668512440827,170.38773896852427,60.3277738155145,Normal,Normal
2025-05-29 00:09:39.889122,63.99923079046193,361.19475102754353,0.1283960672098543,168.62470441977015,78.08227569088696,Normal,Normal
2025-05-29 00:09:49.889122,60.782102002370095,373.9263169465565,0.2932396759637736,184.8428781423923,67.25478282710576,Normal,Normal
2025-05-29 00:09:59.889122,71.15745819744771,341.13009124354835,0.1948034780755513,108.64709689055624,73.17158468496676,Normal,Normal
2025-05-29 00:10:09.889122,57.07296635005513,381.084605967592,0.1314533718175873,185.85659772752183,73.3077644373757,Normal,Normal
2025-05-29 00:10:19.889122,55.81282131968928,369.8621620899664,0.1779093107722734,151.52887701632076,79.45594093255377,Normal,Normal
2025-05-29 00:10:29.889122,59.931837314196514,363.58998801068,0.1602254120831075,156.1821774160174,49.94163630521138,Normal,Normal
2025-05-29 00:10:39.889122,65.34477939813048,367.809205654753,0.1300408559284782,116.59747487193104,69.44129751128902,Normal,Normal
2025-05-29 00:10:49.889122,57.473501606976754,369.4413736763783,0.1876819272405811,121.79672692539494,82.31970539980958,Normal,Normal
2025-05-29 00:10:59.889122,59.40225101948699,357.6637077487624,0.2639811782253135,131.1591946628163,51.48901149844448,Normal,Normal
2025-05-29 00:11:09.889122,67.65648501925789,353.4027365607903,0.2201335898168319,144.4741813560777,86.48041108690668,Normal,Normal
2025-05-29 00:11:19.889122,56.129295700509935,348.3351221979003,0.1311587783896507,110.85527994255602,67.41329870221189,Normal,Normal
2025-05-29 00:11:29.889122,49.97714079494088,340.0297304185966,0.2468613582085548,138.3484724154081,66.77443264047295,Normal,Normal
2025-05-29 00:11:39.889122,47.53335884318366,370.5825520225974,0.1621669754245129,245.86863687657825,72.58134131552076,Normal,Anomaly
